Detailed_ICD9_Code,Detailed_ICD9_Short_Title,Detailed_ICD9_Long_Title,RolledUp_ICD9_Code,RolledUp_ICD9_Short_Title,RolledUp_ICD9_Long_Title
01002,Prim TB complex-exm unkn,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01003,Prim TB complex-micro dx,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01004,Prim TB complex-cult dx,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01005,Prim TB complex-histo dx,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01093,Primary TB NOS-micro dx,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01094,Primary TB NOS-cult dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01095,Primary TB NOS-histo dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01096,Primary TB NOS-oth test,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01084,Prim prog TB NEC-cult dx,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01085,Prim prg TB NEC-histo dx,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01086,Prim prg TB NEC-oth test,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01090,Primary TB NOS-unspec,"Primary tuberculous infection, unspecified, unspecified",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01091,Primary TB NOS-no exam,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01092,Primary TB NOS-exam unkn,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01015,Prim TB pleuris-histo dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01016,Prim TB pleuris-oth test,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01080,Prim prog TB NEC-unspec,"Other primary progressive tuberculosis, unspecified",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01081,Prim prog TB NEC-no exam,"Other primary progressive tuberculosis, bacteriological or histological examination not done",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01082,Prim pr TB NEC-exam unkn,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01083,Prim prg TB NEC-micro dx,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01006,Prim TB complex-oth test,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01010,Prim TB pleurisy-unspec,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01011,Prim TB pleurisy-no exam,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01012,Prim TB pleur-exam unkn,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01013,Prim TB pleuris-micro dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01014,Prim TB pleurisy-cult dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01101,TB lung infiltr-no exam,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01102,TB lung infiltr-exm unkn,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01103,TB lung infiltr-micro dx,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01104,TB lung infiltr-cult dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01105,TB lung infiltr-histo dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01193,Pulmon TB NOS-micro dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01194,Pulmon TB NOS-cult dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01195,Pulmon TB NOS-histo dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01196,Pulmon TB NOS-oth test,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01184,Pulmon TB NEC-cult dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01185,Pulmon TB NEC-histo dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01186,Pulmon TB NEC-oth test,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01190,Pulmonary TB NOS-unspec,"Pulmonary tuberculosis, unspecified, unspecified",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01191,Pulmonary TB NOS-no exam,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01192,Pulmon TB NOS-exam unkn,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01175,TB pneumothorax-histo dx,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01176,TB pneumothorax-oth test,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01180,Pulmonary TB NEC-unspec,"Other specified pulmonary tuberculosis, unspecified",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01181,Pulmonary TB NEC-no exam,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01182,Pulmon TB NEC-exam unkn,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01183,Pulmon TB NEC-micro dx,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01166,TB pneumonia-oth test,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01170,TB pneumothorax-unspec,"Tuberculous pneumothorax, unspecified",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01171,TB pneumothorax-no exam,"Tuberculous pneumothorax, bacteriological or histological examination not done",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01172,TB pneumothorx-exam unkn,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01173,TB pneumothorax-micro dx,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01174,TB pneumothorax-cult dx,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01160,TB pneumonia-unspec,"Tuberculous pneumonia [any form], unspecified",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01161,TB pneumonia-no exam,"Tuberculous pneumonia [any form], bacteriological or histological examination not done",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01162,TB pneumonia-exam unkn,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01163,TB pneumonia-micro dx,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01164,TB pneumonia-cult dx,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01165,TB pneumonia-histo dx,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01151,TB bronchiect-no exam,"Tuberculous bronchiectasis, bacteriological or histological examination not done",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01152,TB bronchiect-exam unkn,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01153,TB bronchiect-micro dx,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01154,TB bronchiect-cult dx,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01155,TB bronchiect-histo dx,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01156,TB bronchiect-oth test,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01142,TB lung fibros-exam unkn,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01143,TB lung fibros-micro dx,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01144,TB lung fibrosis-cult dx,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01145,TB lung fibros-histo dx,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01146,TB lung fibros-oth test,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01150,TB bronchiectasis-unspec,"Tuberculous bronchiectasis, unspecified",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01133,TB of bronchus-micro dx,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01134,TB of bronchus-cult dx,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01135,TB of bronchus-histo dx,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01136,TB of bronchus-oth test,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01140,TB lung fibrosis-unspec,"Tuberculous fibrosis of lung, unspecified",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01141,TB lung fibrosis-no exam,"Tuberculous fibrosis of lung, bacteriological or histological examination not done",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01124,TB lung w cavity-cult dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01125,TB lung w cavit-histo dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01126,TB lung w cavit-oth test,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01130,TB of bronchus-unspec,"Tuberculosis of bronchus, unspecified",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01131,TB of bronchus-no exam,"Tuberculosis of bronchus, bacteriological or histological examination not done",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01132,TB of bronchus-exam unkn,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01115,TB lung nodular-histo dx,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01116,TB lung nodular-oth test,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01120,TB lung w cavity-unspec,"Tuberculosis of lung with cavitation, unspecified",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01121,TB lung w cavity-no exam,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01122,TB lung cavity-exam unkn,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01123,TB lung w cavit-micro dx,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01106,TB lung infiltr-oth test,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
01110,TB lung nodular-unspec,"Tuberculosis of lung, nodular, unspecified",01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
